Unnamed: 0,name,year,selling_price,km_driven,transmission,owner,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,car_age,brand_name,avg_km_per_year,brand_popularity,price_per_km,age_group,usage_group,popularity_group
0,Maruti 800 AC,0.3157894736842053,60000.0,0.4216832631521877,1,0,False,False,False,True,True,False,0.6842105263157894,Maruti,0.13725202613420476,0.9999999999999999,2.0285742685754045e-06,Old (13+),Low Usage,Popular
1,Maruti Wagon R LXI Minor,0.3157894736842053,504355.83229527104,0.3012006096422268,1,0,False,False,False,True,True,False,0.6842105263157894,Maruti,0.09803620914030496,0.9999999999999999,3.894852111155124e-05,Old (13+),Low Usage,Popular
2,Hyundai Verna 1.6 SX,0.5789473684210549,600000.0,0.602407243417129,1,0,True,False,False,False,True,False,0.42105263157894735,Hyundai,0.2777753703623457,0.5789473684210527,2.2600031640044297e-05,Mature (8-12),Low Usage,Popular
3,Datsun RediGO T Option,0.8421052631578902,250000.0,0.2771040789402346,1,0,False,False,False,True,True,False,0.15789473684210525,Datsun,0.21904501586433858,0.026315789473684213,2.0339158909605082e-05,Recent (4-7),Low Usage,Rare
4,Honda Amaze VX i-DTEC,0.6842105263157947,450000.0,0.8493966831125489,1,2,True,False,False,False,True,False,0.3157894736842105,Honda,0.4699982333274444,0.1882591093117409,1.1365973359171213e-05,Mature (8-12),Medium Usage,Popular
5,Maruti Alto LX BSIII,0.3157894736842053,140000.0,0.7530105603045801,1,0,False,False,False,True,True,False,0.6842105263157894,Maruti,0.24509552286742914,0.9999999999999999,3.0800043120060374e-06,Old (13+),Low Usage,Popular
6,Hyundai Xcent 1.2 Kappa S,0.7894736842105203,550000.0,0.15059729275477562,1,0,False,False,False,True,True,False,0.21052631578947367,Hyundai,0.10416368054560181,0.5789473684210527,8.660012124016974e-05,Mature (8-12),Low Usage,Popular
7,Tata Indigo Grand Petrol,0.6842105263157947,240000.0,0.36144193639720723,1,2,False,False,False,True,True,False,0.3157894736842105,Tata,0.1999973333244444,0.2884615384615385,1.4600020440028616e-05,Mature (8-12),Low Usage,Popular
8,Hyundai Creta 1.6 VTVT S,0.7368421052631504,850000.0,0.15059729275477562,1,0,False,False,False,True,True,False,0.2631578947368421,Hyundai,0.09258956789115223,0.5789473684210527,0.00013460018844026382,Mature (8-12),Low Usage,Popular
9,Maruti Celerio Green VXI,0.8421052631578902,365000.0,0.469876324556172,1,0,False,False,False,False,True,False,0.15789473684210525,Maruti,0.37142647618349206,0.9999999999999999,1.7317972963110867e-05,Recent (4-7),Medium Usage,Popular
10,Chevrolet Sail 1.2 Base,0.7368421052631504,260000.0,0.21083861950975608,1,0,False,False,False,True,True,False,0.2631578947368421,Chevrolet,0.12962672838539088,0.1437246963562753,2.831432535434121e-05,Mature (8-12),Low Usage,Common
11,Tata Indigo Grand Petrol,0.6842105263157947,250000.0,0.602407243417129,1,0,False,False,False,True,True,False,0.3157894736842105,Tata,0.33333111110370367,0.2884615384615385,8.600012040016855e-06,Mature (8-12),Low Usage,Popular
13,Maruti Wagon R LXI Minor,0.3157894736842053,135000.0,0.3012006096422268,1,0,False,False,False,True,True,False,0.6842105263157894,Maruti,0.09803620914030496,0.9999999999999999,9.400013160018424e-06,Old (13+),Low Usage,Popular
14,Tata Indigo Grand Petrol,0.6842105263157947,240000.0,0.39895897567732463,1,2,False,False,False,True,True,False,0.3157894736842105,Tata,0.2207567058672202,0.2884615384615385,1.3095443674772003e-05,Mature (8-12),Low Usage,Popular
15,Maruti Ciaz VXi Plus,0.7368421052631504,585000.0,0.14457316007927756,1,0,False,False,False,True,False,False,0.2631578947368421,Maruti,0.08888585184172836,0.9999999999999999,9.610013454018836e-05,Mature (8-12),Low Usage,Popular
16,Hyundai Venue SX Opt Diesel,0.9473684210526301,1195000.0,0.030114639244814726,1,0,True,False,False,False,False,False,0.05263157894736842,Hyundai,0.03333011110037033,0.5789473684210527,0.000954601336441871,Recent (4-7),Low Usage,Popular
17,Chevrolet Enjoy TCDi LTZ 7 Seater,0.6315789473684248,390000.0,0.19879035415875998,1,2,True,False,False,False,True,False,0.368421052631579,Chevrolet,0.09999699998999996,0.1437246963562753,4.587279149463537e-05,Mature (8-12),Low Usage,Common
22,Honda City V MT,0.8947368421052602,930000.0,0.08734389966204614,1,0,False,False,False,True,False,False,0.10526315789473684,Honda,0.08055249073052465,0.1882591093117409,0.000255152081350845,Recent (4-7),Low Usage,Popular
23,Tata Tigor 1.2 Revotron XT,0.8947368421052602,525000.0,0.09035596599979517,1,0,False,False,False,True,True,False,0.10526315789473684,Tata,0.08333027776759255,0.2884615384615385,0.00013860019404027165,Recent (4-7),Low Usage,Popular
31,Hyundai i10 Magna 1.1L,0.6842105263157947,229999.0,0.36144193639720723,1,1,False,False,False,True,True,False,0.3157894736842105,Hyundai,0.1999973333244444,0.5789473684210527,1.3933286173267307e-05,Mature (8-12),Low Usage,Popular
34,Hyundai Elantra CRDi S,0.5789473684210549,625000.0,0.2409592828872463,1,0,True,False,False,False,True,False,0.42105263157894735,Hyundai,0.11110814813827156,0.5789473684210527,6.110008554011977e-05,Mature (8-12),Low Usage,Popular
35,Mahindra Scorpio 1.99 S10,0.6842105263157947,1050000.0,0.3012006096422268,1,0,True,False,False,False,True,False,0.3157894736842105,Mahindra,0.16666388887962957,0.26315789473684215,8.26001156401619e-05,Mature (8-12),Low Usage,Popular
36,Honda City i DTEC V,0.6842105263157947,560000.0,0.4457797938541799,1,2,True,False,False,False,True,False,0.3157894736842105,Honda,0.24666415554718513,0.1882591093117409,2.8870310688705238e-05,Mature (8-12),Low Usage,Popular
37,Maruti Wagon R VXI BS IV with ABS,0.6842105263157947,290000.0,0.3855384670991994,1,2,False,False,False,True,True,False,0.3157894736842105,Maruti,0.2133307111023703,0.9999999999999999,1.672502341503278e-05,Mature (8-12),Low Usage,Popular
38,Maruti Wagon R VXI BS IV,0.5789473684210549,275000.0,0.36144193639720723,1,2,False,False,False,True,True,False,0.42105263157894735,Maruti,0.16666388887962957,0.9999999999999999,1.6933357040033188e-05,Mature (8-12),Low Usage,Popular
39,Mahindra Scorpio LX,0.4210526315789451,411000.0,0.7228898969270899,1,2,True,False,False,False,True,False,0.5789473684210527,Mahindra,0.26666422221407404,0.26315789473684215,1.2300017220024107e-05,Old (13+),Low Usage,Popular
40,Hyundai Santro Xing GLS,0.4210526315789451,150000.0,0.47590045723167007,1,4,False,False,False,True,True,False,0.5789473684210527,Hyundai,0.17555280739824686,0.5789473684210527,6.194945381784292e-06,Old (13+),Low Usage,Popular
41,Hyundai Grand i10 1.2 Kappa Asta,0.9473684210526301,500000.0,0.09035596599979517,1,0,False,False,False,True,True,False,0.05263157894736842,Hyundai,0.09999699998999996,0.5789473684210527,0.0001319335180402586,Recent (4-7),Low Usage,Popular
42,Maruti Alto LXi,0.2631578947368354,100000.0,0.48192458990716813,1,0,False,False,False,True,True,False,0.7368421052631579,Maruti,0.14814530863251024,0.9999999999999999,3.6000050400070557e-06,Old (13+),Low Usage,Popular
43,Maruti Swift Dzire VDI Optional,0.8421052631578902,725000.0,0.11144043036403833,1,0,True,False,False,False,False,False,0.15789473684210525,Maruti,0.08809219840256609,0.9999999999999999,0.0001553569742565207,Recent (4-7),Low Usage,Popular
44,Maruti Eeco 5 Seater AC BSIV,0.8947368421052602,401000.0,0.061440129157404565,1,0,False,False,False,True,False,False,0.10526315789473684,Maruti,0.0566635222117407,0.9999999999999999,0.0001558551201579525,Recent (4-7),Low Usage,Popular
45,Hyundai i20 Sportz 1.4 CRDi,0.8947368421052602,750000.0,0.1746938234567678,1,0,True,False,False,False,False,False,0.10526315789473684,Hyundai,0.16110831480549376,0.5789473684210527,0.00010204841872985517,Recent (4-7),Low Usage,Popular
46,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,0.8947368421052602,310000.0,0.16866969078126975,1,0,False,False,False,True,False,False,0.10526315789473684,Maruti,0.15555274073135797,0.9999999999999999,4.288577432579834e-05,Recent (4-7),Low Usage,Popular
47,Maruti Swift ZDi BSIV,0.7894736842105203,665000.0,0.2771040789402346,1,0,True,False,False,False,False,False,0.21052631578947367,Maruti,0.1916639722132407,0.9999999999999999,5.6426165953154076e-05,Mature (8-12),Low Usage,Popular
48,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,0.6842105263157947,465000.0,0.4216832631521877,1,0,True,False,False,False,False,False,0.3157894736842105,Hyundai,0.2333307777692592,0.5789473684210527,2.517146381147791e-05,Mature (8-12),Low Usage,Popular
